类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z11010101,住宅地产开发和管理,,巨潮行业分类标准,008002,Residential Real Estate Development and Management,Z110101,4
Z110102,商业地产开发和管理,,巨潮行业分类标准,008002,Commercial Real Estate Development and Management,Z1101,3
Z11010201,商业地产开发和管理,,巨潮行业分类标准,008002,Commercial Real Estate Development and Management,Z110102,4
Z110103,工业地产开发和管理,,巨潮行业分类标准,008002,Industrial Real Estate Development and Management,Z1101,3
Z11010301,工业地产开发和管理,,巨潮行业分类标准,008002,Industrial Real Estate Development and Management,Z110103,4
Z1102,房地产服务,,巨潮行业分类标准,008002,Real Estate Services,Z11,2
Z110201,房地产信托,,巨潮行业分类标准,008002,Real Estate Investment Trusts,Z1102,3
Z11020101,房地产信托,,巨潮行业分类标准,008002,Real Estate Investment Trusts,Z110201,4
Z110202,房地产租赁,,巨潮行业分类标准,008002,Real Estate Rent and Leasing,Z1102,3
Z11020201,房地产租赁,,巨潮行业分类标准,008002,Real Estate Rent and Leasing,Z110202,4
Z110203,其他房地产服务,,巨潮行业分类标准,008002,Specialized  Real Estate Services,Z1102,3
Z11020301,其他房地产服务,,巨潮行业分类标准,008002,Specialized  Real Estate Services,Z110203,4
